Performance indicator,Performance,Publication Year,Average_Performance
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.0031803899891488124, 0.02821438658122183]",0.8888888888888857,0.30676122181975213
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.0031991558134738386, 0.028214467677242915]",0.8888888888888857,0.30676750412653414
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[1.0, 0.03199412690761252]",0.8888888888888857,0.6402943385988328
['Rootmeansquareerror'],0.028213501959331696,0.8888888888888857,0.4585511954241087
['Not available'],0.0,0.9444444444444429,0.47222222222222143
['Rootmeansquareerror'],0.028213519493774524,0.9444444444444429,0.4863289819691087
"['Rootmeansquareerror', 'Scorefunction']","[0.028217379359710013, 0.5970229468599033]",0.7222222222222285,0.4491541828139473
"['Rootmeansquareerror', 'Scorefunction']","[0.028218202314042526, 0.6051376811594202]",0.7222222222222285,0.4518593685652304
"['Rootmeansquareerror', 'Scorefunction']","[0.028216908349677147, 0.5976092995169082]",0.7222222222222285,0.4493494766962713
['Meanabsoluterelativeerror'],0.44413239129995835,0.6666666666666714,0.5553995289833149
['Meanabsoluterelativeerror'],1.0,0.6666666666666714,0.8333333333333357
['Not available'],0.0,0.7777777777777857,0.38888888888889284
['Not available'],0.0,0.7777777777777857,0.38888888888889284
"['Meanabsoluteerror', 'Rootmeansquareerror', 'Meanabsolutepercentageerror', 'Pearsoncorrelationcoefficent']","[0.20030494490084194, 0.028211600259213106, 0.0010764247607658196, 1.0]",0.8333333333333286,0.4125852606508299
"['Meanabsoluteerror', 'Rootmeansquareerror', 'Meanabsolutepercentageerror', 'Pearsoncorrelationcoefficent']","[0.26622250778935347, 0.0, 0.00045092315823816584, 0.5529953917050676]",0.8333333333333286,0.3306004311971976
"['Meanabsoluteerror', 'Rootmeansquareerror', 'Meanabsolutepercentageerror', 'Pearsoncorrelationcoefficent']","[0.2589609435953922, 0.02821113075501157, 0.0004826717503744046, 0.7880184331797224]",0.8333333333333286,0.38180130252276584
"['Meanabsoluteerror', 'Rootmeansquareerror', 'Meanabsolutepercentageerror', 'Pearsoncorrelationcoefficent']","[0.37097465081769093, 0.028209640279657392, 0.0, 0.0]",0.8333333333333286,0.24650352488613542
"['Meanabsoluteerror', 'Rootmeansquareerror', 'Meanabsolutepercentageerror', 'Pearsoncorrelationcoefficent']","[0.3317270182202029, 0.028210282621778417, 0.00012656743148688763, 0.33179723502303915]",0.8333333333333286,0.3050388873259672
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.010379305631121258, 0.028216612436310774]",0.8333333333333286,0.29064308380025355
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.007623620983599329, 0.02821424425389647]",0.8333333333333286,0.2897237328569415
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.004654467807044011, 0.028214115557846597]",0.8333333333333286,0.2887339722327397
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.005081404865110789, 0.028214220615846494]",0.8333333333333286,0.28887631960476196
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.008826807238151158, 0.028215448043478603]",0.8333333333333286,0.2901251962049861
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.005168732899715357, 0.02821424162744647]",0.8333333333333286,0.2889054359534968
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.0035774220469210038, 0.028213786376113593]",0.8333333333333286,0.2883748472521211
